Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
Accenture,803,Ireland,https://www.accenture.com/,S&P 500,,Europe,Mature,Software & IT Services,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",crunchbase,https://www.crunchbase.com/organization/accenture,2024-05-16,208,36.4766081871345,17.4,19,3307,26,49,14,1197,489,2.0427730320778466,37.2,238,1315,3,38,156,0,0,5,4,1,11,34,0,0,5,358,3,48,1,105,9,30,66,38,9,102,33,13,129,0,23,13610,166212,Dublin,Dublin,https://parat.eto.tech/company/803-accenture
Cognizant,806,United States,https://www.cognizant.com,S&P 500,,North America,Mature,Software & IT Services,"Cognizant is a professional services company, transforming clients’ business, operating and technology models for the digital era.",crunchbase,https://www.crunchbase.com/organization/cognizant-technology-solutions,2024-05-16,209,5.529432253570185,17.5,3,3162,54,13,25,1191,77,14.880952380952381,41.0,51,188,0,5,9,1,0,0,0,1,0,6,0,0,0,42,0,4,0,10,0,3,9,1,1,12,1,0,7,0,5,5226,130530,Teaneck,New Jersey,https://parat.eto.tech/company/806-cognizant
Amazon,23,United States,http://amazon.com,"S&P 500, Global Big Tech","Amazon Advertising, Amazon Web Services",North America,Mature,Retailers,"Amazon is a global tech firm with a focus on e-commerce, cloud computing, digital streaming, and artificial intelligence.",crunchbase,https://www.crunchbase.com/organization/amazon,2024-05-16,3313,51.21209400963076,36.0,1278,79889,654,1241,122,9202,1819,19.32262827611665,13.1,1655,13911,2,60,253,1,1,14,6,14,63,15,0,0,7,1024,9,75,3,430,362,98,304,365,5,135,23,179,131,9,265,14164,128587,Seattle,Washington,https://parat.eto.tech/company/23-amazon
IBM,115,United States,http://www.ibm.com/,"S&P 500, Global Big Tech",,North America,Mature,Software & IT Services,"IBM is an IT technology and consulting firm providing computer hardware, software, infrastructure, and hosting services.",crunchbase,https://www.crunchbase.com/organization/ibm,2024-05-16,7428,3.357917500364003,24.5,1830,231531,1138,1543,143,30306,8724,21.13739288380436,18.2,6079,47896,54,218,1227,29,3,148,65,48,116,669,0,17,222,5717,77,617,92,1489,249,420,776,383,120,1753,386,296,828,4,471,6113,117515,Armonk,New York,https://parat.eto.tech/company/115-ibm
Microsoft,163,United States,http://www.microsoft.com,"S&P 500, Global Big Tech, GenAI Contenders",,North America,Mature,Software & IT Services,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",crunchbase,https://www.crunchbase.com/organization/microsoft,2024-05-16,9807,18.07412021600348,38.2,4305,637164,2736,2899,238,25704,3728,6.434429274831981,15.7,1999,23714,4,31,711,5,0,47,22,67,25,127,0,8,243,2635,13,279,6,888,26,140,439,65,27,468,214,61,550,0,365,5245,104414,Redmond,Washington,https://parat.eto.tech/company/163-microsoft
Alphabet (including Google),796,United States,https://abc.xyz/,"S&P 500, Global Big Tech","Deepmind, Waymo, Google",North America,Mature,Software & IT Services,"Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen.",crunchbase,https://www.crunchbase.com/organization/alphabet,2024-05-16,9420,20.775897862386238,40.8,4194,780289,2408,2126,507,23081,3859,16.32427191217289,18.9,2067,20407,53,30,236,6,0,23,33,45,142,305,2,9,27,1756,24,133,11,693,396,290,761,432,16,163,90,329,139,18,534,5658,86934,Mountain View,California,https://parat.eto.tech/company/796-alphabet-including-google
Oracle,617,United States,https://www.oracle.com,"S&P 500, Global Big Tech",Cerner Corporation,North America,Mature,Software & IT Services,Oracle is an integrated cloud application and platform services that sells a range of enterprise information technology solutions.,crunchbase,https://www.crunchbase.com/organization/oracle,2024-05-16,213,20.187537810042347,8.6,29,2726,29,64,6,2468,418,-8.497517116577967,19.3,210,2169,0,9,82,0,0,4,16,0,2,65,0,0,5,284,2,33,0,84,5,32,37,12,2,60,23,9,69,0,24,1184,52406,Redwood Shores,California,https://parat.eto.tech/company/617-oracle
Deloitte Touche Tohmatsu,804,United Kingdom,https://www2.deloitte.com,,,Europe,Mature,Industrial & Commercial Services,"Deloitte is a business consulting company that offers audit, consulting, financial advisory, and tax services.",crunchbase,https://www.crunchbase.com/organization/deloitte,2024-05-16,143,32.38095238095239,6.4,3,1771,21,17,5,2226,9,-75.0,30.0,7,30,0,0,3,0,0,0,0,0,0,1,0,0,1,4,0,0,0,2,0,0,1,0,0,1,1,0,3,0,0,6662,42115,London,London,https://parat.eto.tech/company/804-deloitte-touche-tohmatsu
Apple,27,United States,http://www.apple.com,"S&P 500, Global Big Tech",,North America,Mature,Technology Equipment,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. It is considered one of the Big Five companies in the U.S. information technology industry, along with Amazon, Google, Microsoft, and Facebook. Its hardware products include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, the Apple TV digital media player, the AirPods wireless earbuds, the AirPods Max headphones, and the HomePod smart speaker line. Apple's software includes iOS, iPadOS, macOS, watchOS, and tvOS operating systems, the iTunes media player, the Safari web browser, the Shazam music identifier, and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro X, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store, Mac App Store, Apple Arcade, Apple Music, Apple TV+, Apple Fitness+, iMessage, and iCloud. Other services include Apple Store, Genius Bar, AppleCare, Apple Pay, Apple Pay Cash, and Apple Card.",wikipedia,https://en.wikipedia.org/wiki/Apple_Inc.,2021-03-18,456,70.35298035298034,24.1,144,18483,121,134,38,1892,713,15.199117087946016,3.1,427,22881,0,6,24,0,0,3,8,12,2,62,0,0,3,393,0,43,0,191,49,69,200,44,3,39,16,64,12,0,70,3567,36508,Cupertino,California,https://parat.eto.tech/company/27-apple
Cisco Systems,383,United States,http://www.cisco.com,"S&P 500, Global Big Tech",,North America,Mature,Technology Equipment,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other technology services and products.",crunchbase,https://www.crunchbase.com/organization/cisco,2024-05-16,280,18.539512774806894,7.7,30,5594,52,27,18,3626,840,-3.4106280193236707,9.3,671,8989,0,3,37,0,0,1,11,0,0,3,0,0,9,333,0,67,1,632,8,330,35,19,13,102,13,13,28,1,30,1094,34998,San Jose,California,https://parat.eto.tech/company/383-cisco-systems
